City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
191,Choma,ZM,2022-10-11 21:31:12,-16.8065,26.9531,293.21,33,14,2.62
192,Beloha,MG,2022-10-11 21:31:13,-25.1667,45.05,293.08,82,0,5.25
193,Hasaki,JP,2022-10-11 21:31:14,35.7333,140.8333,290.37,66,100,8.69
194,Ilula,TZ,2022-10-11 21:31:15,-7.6766,36.0366,287.32,63,12,2.46
195,Guerrero Negro,MX,2022-10-11 21:31:15,27.9769,-114.0611,296.68,67,23,6.91
196,Jiaozuo,CN,2022-10-11 21:31:16,35.2397,113.2331,285.39,39,79,2.53
197,Kremenki,RU,2022-10-11 21:31:17,54.885,37.1261,276.43,73,54,1.39
198,Ankang,CN,2022-10-11 21:31:18,32.68,109.0172,284.88,76,99,0.99
199,Sao Borja,BR,2022-10-11 21:31:19,-28.6606,-56.0044,288.68,86,99,1.61
200,Port Lincoln,AU,2022-10-11 21:30:37,-34.7333,135.8667,286.39,78,55,3.59
201,Burnie,AU,2022-10-11 21:31:20,-41.0667,145.9167,287.56,79,100,7.56
202,Semirara,PH,2022-10-11 21:31:21,12.0697,121.3986,301.45,76,100,4.9
203,Acajutla,SV,2022-10-11 21:31:22,13.5928,-89.8275,300.59,81,94,1.99
204,Sao Filipe,CV,2022-10-11 21:31:22,14.8961,-24.4956,299.87,77,73,4.49
205,Kavaratti,IN,2022-10-11 21:31:23,10.5669,72.642,299.87,79,96,3.42
206,Deogarh,IN,2022-10-11 21:31:24,21.5333,84.7333,296.03,92,27,1.03
207,Unecha,RU,2022-10-11 21:31:25,52.8459,32.6739,278.45,76,71,2.28
208,Bethel,US,2022-10-11 21:30:22,41.3712,-73.414,294.2,59,0,3.09
209,Mahebourg,MU,2022-10-11 21:31:26,-20.4081,57.7,295.31,73,40,4.12
210,Liverpool,GB,2022-10-11 21:29:43,53.4106,-2.9779,283.31,84,75,2.57
211,Lorengau,PG,2022-10-11 21:31:27,-2.0226,147.2712,300.94,59,100,2.01
212,Moose Factory,CA,2022-10-11 21:31:28,51.2585,-80.6094,293.15,48,0,7.2
213,Netivot,IL,2022-10-11 21:31:29,31.4222,34.5886,292.37,73,1,2.39
214,Sitka,US,2022-10-11 21:30:13,57.0531,-135.33,287.09,72,100,1.54
215,Lompoc,US,2022-10-11 21:31:30,34.6391,-120.4579,299.83,81,100,5.14
216,Vorobyevka,RU,2022-10-11 21:31:31,50.6451,40.9245,282.55,94,100,5.73
217,Naifaru,MV,2022-10-11 21:31:31,5.4444,73.3657,299.83,81,100,9.04
218,Semme,FR,2022-10-11 21:31:32,46.1963,1.5007,287.38,97,79,1.09
219,Torbay,CA,2022-10-11 21:31:33,47.6666,-52.7314,282.91,71,20,7.72
220,Gat,IL,2022-10-11 21:31:34,31.61,34.7642,295.59,100,0,1.95
221,Nizhnyaya Poyma,RU,2022-10-11 21:31:34,56.1622,97.1933,278.06,96,100,5.04
222,Quatre Cocos,MU,2022-10-11 21:31:35,-20.2078,57.7625,295.21,70,59,5.87
223,Coquimbo,CL,2022-10-11 21:31:36,-29.9533,-71.3436,289.0,67,0,5.66
224,Ughelli,NG,2022-10-11 21:31:37,5.4899,6.0074,297.29,95,99,1.73
225,Volosovo,RU,2022-10-11 21:32:38,59.4333,29.4833,278.99,96,66,3.78
226,Trebinje,BA,2022-10-11 21:32:38,42.7119,18.3442,290.24,94,20,2.57
227,Hithadhoo,MV,2022-10-11 21:32:39,-0.6,73.0833,300.23,78,100,7.45
228,Segou,ML,2022-10-11 21:32:39,13.4317,-6.2157,301.4,53,98,3.33
229,Geraldton,AU,2022-10-11 21:32:40,-28.7667,114.6,278.38,87,69,1.03
230,Singaraja,ID,2022-10-11 21:32:41,-8.112,115.0882,299.14,83,100,1.85
231,Waingapu,ID,2022-10-11 21:32:41,-9.6567,120.2641,299.41,77,100,1.05
232,Nouadhibou,MR,2022-10-11 21:32:42,20.931,-17.0347,298.14,65,98,6.69
233,Susangerd,IR,2022-10-11 21:32:42,31.5608,48.1831,301.28,23,0,6.46
234,Binzhou,CN,2022-10-11 21:32:43,37.3667,118.0167,282.59,44,0,1.86
235,Kumertau,RU,2022-10-11 21:32:43,52.7667,55.7833,283.43,39,100,2.92
236,Shache,CN,2022-10-11 21:32:45,38.4167,77.2406,285.13,27,64,2.85
237,Inhambane,MZ,2022-10-11 21:32:46,-23.865,35.3833,295.61,88,7,2.69
238,Korla,CN,2022-10-11 21:32:46,41.7597,86.1469,279.81,75,27,6.19
239,Port Hardy,CA,2022-10-11 21:32:47,50.6996,-127.4199,288.25,47,20,5.14
240,Pleasanton,US,2022-10-11 21:29:06,37.6624,-121.8747,302.99,42,0,3.09
241,Luanda,AO,2022-10-11 21:27:13,-8.8368,13.2343,297.15,83,20,3.09
242,Cabo San Lucas,MX,2022-10-11 21:32:48,22.8909,-109.9124,308.32,46,0,5.14
