City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
132,Olinda,BR,-8.0089,-34.8553,80.33,69,40,6.91,scattered clouds
133,North Bend,US,43.4065,-124.2243,62.51,86,0,10.36,clear sky
134,Puerto Ayora,EC,-0.7393,-90.3518,67.55,84,98,5.01,overcast clouds
135,San Juan,AR,-31.5375,-68.5364,70.79,38,4,12.08,clear sky
136,Hargeysa,SO,9.56,44.065,64.8,83,14,6.02,few clouds
137,Saint-Philippe,RE,-21.3585,55.7679,67.59,81,37,6.82,scattered clouds
138,Qasigiannguit,GL,68.8193,-51.1922,44.85,75,100,7.16,overcast clouds
139,Nouadhibou,MR,20.931,-17.0347,69.78,83,0,14.97,clear sky
140,Bontang,ID,0.1333,117.5,83.82,72,100,3.65,overcast clouds
141,Hithadhoo,MV,-0.6,73.0833,80.8,67,98,8.16,overcast clouds
142,Nishihara,JP,26.1842,127.7558,83.86,73,100,11.5,overcast clouds
143,Shihezi,CN,44.3,86.0333,57.24,20,22,5.3,few clouds
144,Ostrovnoy,RU,68.0531,39.5131,46.38,95,100,18.19,overcast clouds
145,Kaitangata,NZ,-46.2817,169.8464,57.27,55,81,3.8,broken clouds
146,Victoria,HK,22.2855,114.1577,83.03,49,100,20.0,overcast clouds
147,Lugoba,TZ,-6.45,38.3333,69.66,90,82,2.95,light rain
148,Manaure,CO,11.7751,-72.4445,81.25,81,67,10.25,broken clouds
149,Beloha,MG,-25.1667,45.05,64.09,94,0,1.25,clear sky
150,Srednekolymsk,RU,67.45,153.6833,12.83,82,51,2.57,broken clouds
151,Bengkulu,ID,-3.8004,102.2655,80.26,76,100,1.66,overcast clouds
152,Lebu,CL,-37.6167,-73.65,51.37,90,97,14.23,overcast clouds
153,Jinchang,CN,38.4953,102.1739,48.09,27,0,1.83,clear sky
154,Port Moresby,PG,-9.4431,147.1797,85.95,69,100,12.12,overcast clouds
155,Chabahar,IR,25.2919,60.643,79.14,61,7,1.3,clear sky
156,Waingapu,ID,-9.6567,120.2641,85.39,65,91,10.31,overcast clouds
157,Copiapo,CL,-27.3667,-70.3333,53.29,61,0,1.52,clear sky
158,Khandyga,RU,62.6667,135.6,22.33,87,100,1.99,overcast clouds
159,Mayumba,GA,-3.432,10.6554,75.43,90,100,2.89,overcast clouds
160,Goderich,CA,43.7501,-81.7165,46.9,93,96,3.44,light rain
161,Tilichiki,RU,60.4667,166.1,22.57,79,10,4.41,clear sky
162,Hobart,AU,-42.8794,147.3294,59.25,64,40,16.11,scattered clouds
163,Rantoul,US,40.3084,-88.1559,49.78,60,40,9.22,scattered clouds
164,Gat,IL,31.61,34.7642,74.39,64,0,7.45,clear sky
165,Pemangkat,ID,1.1667,108.9667,83.52,71,100,3.83,overcast clouds
166,Dicabisagan,PH,17.0818,122.4157,86.45,61,100,5.35,overcast clouds
167,Shibetsu,JP,43.659,145.132,65.1,72,75,14.97,broken clouds
168,Moose Factory,CA,51.2585,-80.6094,42.8,93,100,4.61,overcast clouds
169,Buckeye,US,33.3703,-112.5838,76.12,64,0,0.0,clear sky
170,Alpine,US,32.835,-116.7664,65.28,85,40,9.22,scattered clouds
171,Kuytun,RU,54.3419,101.5036,32.52,55,19,8.68,few clouds
172,Savannah Bight,HN,16.45,-85.85,83.75,77,58,21.65,broken clouds
173,Santa Fe,AR,-31.6333,-60.7,63.01,66,0,4.0,clear sky
174,College,US,64.8569,-147.8028,37.98,79,75,0.0,broken clouds
175,East London,ZA,-33.0153,27.9116,66.83,87,100,13.47,overcast clouds
176,Ahipara,NZ,-35.1667,173.1667,60.04,94,96,8.95,light rain
177,Carutapera,BR,-1.195,-46.02,78.93,80,10,7.85,clear sky
178,Hibbing,US,47.4272,-92.9377,31.6,86,100,10.36,overcast clouds
179,Kungurtug,RU,50.5994,97.5228,33.78,23,20,1.5,few clouds
180,Muravlenko,RU,63.7898,74.523,37.6,89,100,0.89,overcast clouds
181,Umm Kaddadah,SD,13.6017,26.6876,81.28,18,94,18.48,overcast clouds
182,Asau,RO,46.4333,26.4,32.92,83,0,3.8,clear sky
183,Verkhnevilyuysk,RU,63.4453,120.3167,30.58,89,100,7.45,overcast clouds
184,Honiara,SB,-9.4333,159.95,87.06,62,83,6.26,broken clouds
185,Provideniya,RU,64.3833,-173.3,32.36,74,100,18.01,overcast clouds
186,Oyem,GA,1.5995,11.5793,66.07,99,99,1.25,light rain
187,Luderitz,NA,-26.6481,15.1594,57.61,92,0,7.38,clear sky
188,Kununurra,AU,-15.7667,128.7333,98.58,36,100,6.91,overcast clouds
189,Tasiilaq,GL,65.6145,-37.6368,30.36,67,100,7.96,overcast clouds
190,Alice Springs,AU,-23.7,133.8833,89.15,40,2,21.85,clear sky
191,Yulara,AU,-25.2406,130.9889,82.24,51,75,21.85,broken clouds
192,Krivodol,BG,43.3744,23.4844,49.32,60,0,2.1,clear sky
193,Neryungri,RU,56.6709,124.6491,25.48,85,98,10.47,overcast clouds
194,Poso,ID,-1.3959,120.7524,86.18,63,89,3.11,overcast clouds
195,Qaanaaq,GL,77.484,-69.3632,11.41,83,82,4.36,broken clouds
196,Lipari,IT,38.4674,14.954,63.27,69,0,5.1,clear sky
197,Karlskoga,SE,59.3267,14.5239,50.4,84,47,12.5,scattered clouds
198,Catamarca,AR,-28.4696,-65.7852,71.78,50,100,8.01,overcast clouds
199,Bam,IR,29.106,58.357,72.0,13,0,9.17,clear sky
200,Chokurdakh,RU,70.6333,147.9167,15.76,94,100,10.89,overcast clouds
201,Mahajanga,MG,-15.7167,46.3167,71.62,83,0,4.61,clear sky
202,Sampit,ID,-2.5333,112.95,82.56,82,100,3.09,light rain
203,Teguldet,RU,57.3064,88.1667,36.46,76,100,3.96,overcast clouds
204,Bluff,NZ,-46.6,168.3333,56.8,72,100,14.52,overcast clouds
205,Cap-Aux-Meules,CA,47.3821,-61.8597,53.65,94,100,12.66,overcast clouds
206,Vila Franca Do Campo,PT,37.7167,-25.4333,66.61,65,66,14.56,broken clouds
207,Perama,GR,37.9757,23.5828,61.65,60,20,5.75,few clouds
208,Esperance,AU,-33.8667,121.9,59.04,77,90,23.26,overcast clouds
209,Riosucio,CO,5.4216,-75.7032,58.78,98,87,1.59,overcast clouds
210,Birjand,IR,32.8663,59.2211,50.47,25,0,9.22,clear sky
211,Sechura,PE,-5.5569,-80.8222,62.26,83,20,13.73,few clouds
212,Hobyo,SO,5.3505,48.5268,77.58,85,7,10.74,clear sky
213,Kadirli,TR,37.3739,36.0961,70.47,54,96,6.46,overcast clouds
